Date,Quantity
30/10/2022,"  187,767 "
31/10/2022,"  197,469 "
01/11/2022,"  168,023 "
02/11/2022,"  155,007 "
03/11/2022,"  185,075 "
04/11/2022,"  164,342 "
05/11/2022,"  159,114 "
06/11/2022,"  121,180 "
07/11/2022,"  185,487 "
08/11/2022,"  206,861 "
09/11/2022,"  209,444 "
10/11/2022,"  156,151 "
11/11/2022,"  144,565 "
12/11/2022,"  177,362 "
13/11/2022,"  175,086 "
14/11/2022,"  158,403 "
15/11/2022,"  132,643 "
16/11/2022,"  138,356 "
17/11/2022,"  192,398 "
18/11/2022,"  190,412 "
19/11/2022,"  192,972 "
20/11/2022,"  139,384 "
21/11/2022,"  132,681 "
22/11/2022,"  147,216 "
23/11/2022,"  165,757 "
24/11/2022,"  153,580 "
25/11/2022,"  155,699 "
26/11/2022,"  163,684 "
27/11/2022,"  181,620 "
28/11/2022,"  140,259 "
29/11/2022,"  185,014 "
30/11/2022,"  204,696 "
01/12/2022,"  210,301 "
02/12/2022,"  175,871 "
03/12/2022,"  202,938 "
04/12/2022,"  235,332 "
05/12/2022,"  193,818 "
06/12/2022,"  215,184 "
07/12/2022,"  230,610 "
08/12/2022,"  189,921 "
09/12/2022,"  152,048 "
10/12/2022,"  158,217 "
11/12/2022,"  186,389 "
12/12/2022,"  189,807 "
13/12/2022,"  155,025 "
14/12/2022,"  191,706 "
15/12/2022,"  182,375 "
16/12/2022,"  163,571 "
17/12/2022,"  194,971 "
18/12/2022,"  173,026 "
19/12/2022,"  201,658 "
20/12/2022,"  161,706 "
21/12/2022,"  191,968 "
22/12/2022,"  187,409 "
23/12/2022,"  176,569 "
24/12/2022,"  248,198 "
25/12/2022,"  228,176 "
26/12/2022,"  209,717 "
27/12/2022,"  197,405 "
28/12/2022,"  201,046 "
29/12/2022,"  193,728 "
30/12/2022,"  207,393 "
31/12/2022,"  245,681 "
01/01/2023,"  196,389 "
02/01/2023,"  169,063 "
03/01/2023,"  198,668 "
04/01/2023,"  167,423 "
05/01/2023,"  167,181 "
06/01/2023,"  167,921 "
07/01/2023,"  185,317 "
08/01/2023,"  180,411 "
09/01/2023,"  192,432 "
10/01/2023,"  122,105 "
11/01/2023,"  120,027 "
12/01/2023,"  138,193 "
13/01/2023,"  109,095 "
14/01/2023,"  188,361 "
15/01/2023,"  163,242 "
16/01/2023,"  160,349 "
17/01/2023,"  160,851 "
18/01/2023,"  175,457 "
19/01/2023,"  130,781 "
20/01/2023,"  130,806 "
21/01/2023,"  153,274 "
22/01/2023,"  171,411 "
23/01/2023,"  172,957 "
24/01/2023,"  138,330 "
25/01/2023,"  164,724 "
26/01/2023,"  166,483 "
27/01/2023,"  160,288 "
28/01/2023,"  171,607 "
29/01/2023,"  167,194 "
30/01/2023,"  166,182 "
31/01/2023,"  199,506 "
01/02/2023,"  177,855 "
02/02/2023,"  198,877 "
03/02/2023,"  177,742 "
04/02/2023,"  170,335 "
05/02/2023,"  168,980 "
06/02/2023,"  164,927 "
07/02/2023,"  149,466 "
08/02/2023,"  174,185 "
09/02/2023,"  174,088 "
10/02/2023,"  155,686 "
11/02/2023,"  158,483 "
12/02/2023,"  139,066 "
13/02/2023,"  142,496 "
14/02/2023,"  191,735 "
15/02/2023,"  152,938 "
16/02/2023,"  146,980 "
17/02/2023,"  188,858 "
18/02/2023,"  172,207 "
19/02/2023,"  195,487 "
20/02/2023,"  158,097 "
21/02/2023,"  156,863 "
22/02/2023,"  181,043 "
23/02/2023,"  172,993 "
24/02/2023,"  175,901 "
25/02/2023,"  158,028 "
26/02/2023,"  167,532 "
27/02/2023,"  165,292 "
28/02/2023,"  182,061 "
01/03/2023,"  152,873 "
02/03/2023,"  155,890 "
03/03/2023,"  196,183 "
04/03/2023,"  164,191 "
05/03/2023,"  176,201 "
06/03/2023,"  188,134 "
07/03/2023,"  180,947 "
08/03/2023,"  156,388 "
09/03/2023,"  158,627 "
10/03/2023,"  179,239 "
11/03/2023,"  155,671 "
12/03/2023,"  141,864 "
13/03/2023,"  154,542 "
14/03/2023,"  157,964 "
15/03/2023,"  180,378 "
16/03/2023,"  166,215 "
17/03/2023,"  194,440 "
18/03/2023,"  181,839 "
19/03/2023,"  185,015 "
20/03/2023,"  163,818 "
21/03/2023,"  172,754 "
22/03/2023,"  171,652 "
23/03/2023,"  180,076 "
24/03/2023,"  179,323 "
25/03/2023,"  184,351 "
26/03/2023,"  175,693 "
27/03/2023,"  167,209 "
28/03/2023,"  169,142 "
29/03/2023,"  166,565 "
30/03/2023,"  192,883 "
31/03/2023,"  154,632 "
01/04/2023,"  146,575 "
02/04/2023,"  130,676 "
03/04/2023,"  167,344 "
04/04/2023,"  144,958 "
05/04/2023,"  132,663 "
06/04/2023,"  149,676 "
07/04/2023,"  142,062 "
08/04/2023,"  167,433 "
09/04/2023,"  152,856 "
10/04/2023,"  169,863 "
11/04/2023,"  152,028 "
12/04/2023,"  167,860 "
13/04/2023,"  131,357 "
14/04/2023,"  154,332 "
15/04/2023,"  142,037 "
16/04/2023,"  162,236 "
17/04/2023,"  132,436 "
18/04/2023,"  166,786 "
19/04/2023,"  167,550 "
20/04/2023,"  134,008 "
21/04/2023,"  141,797 "
22/04/2023,"  146,935 "
23/04/2023,"  165,907 "
24/04/2023,"  158,269 "
25/04/2023,"  167,945 "
26/04/2023,"  166,068 "
27/04/2023,"  164,736 "
28/04/2023,"  160,219 "
29/04/2023,"  165,776 "
30/04/2023,"  132,320 "
01/05/2023,"  154,287 "
02/05/2023,"  138,420 "
03/05/2023,"  129,150 "
04/05/2023,"  133,450 "
05/05/2023,"  138,020 "
06/05/2023,"  150,753 "
07/05/2023,"  163,550 "
08/05/2023,"  141,193 "
09/05/2023,"  152,983 "
10/05/2023,"  152,997 "
11/05/2023,"  146,687 "
12/05/2023,"  156,877 "
13/05/2023,"  152,923 "
14/05/2023,"  133,980 "
15/05/2023,"  143,570 "
16/05/2023,"  149,720 "
17/05/2023,"  143,330 "
18/05/2023,"  161,963 "
19/05/2023,"  142,467 "
20/05/2023,"  139,123 "
21/05/2023,"  136,433 "
22/05/2023,"  148,527 "
23/05/2023,"  150,380 "
24/05/2023,"  150,360 "
25/05/2023,"  153,693 "
26/05/2023,"  163,840 "
27/05/2023,"  173,987 "
28/05/2023,"  160,873 "
29/05/2023,"  146,003 "
30/05/2023,"  150,147 "
31/05/2023,"  154,773 "
01/06/2023,"  146,323 "
02/06/2023,"  152,857 "
03/06/2023,"  138,393 "
04/06/2023,"  141,400 "
05/06/2023,"  159,793 "
06/06/2023,"  166,167 "
07/06/2023,"  161,403 "
08/06/2023,"  159,053 "
09/06/2023,"  167,133 "
10/06/2023,"  151,573 "
11/06/2023,"  145,577 "
12/06/2023,"  142,650 "
13/06/2023,"  156,627 "
14/06/2023,"  152,240 "
15/06/2023,"  160,823 "
16/06/2023,"  155,730 "
17/06/2023,"  168,473 "
18/06/2023,"  187,737 "
19/06/2023,"  147,387 "
20/06/2023,"  142,940 "
21/06/2023,"  149,313 "
22/06/2023,"  151,953 "
23/06/2023,"  144,467 "
24/06/2023,"  147,687 "
25/06/2023,"  148,880 "
26/06/2023,"  157,780 "
27/06/2023,"  158,457 "
28/06/2023,"  157,493 "
29/06/2023,"  160,777 "
30/06/2023,"  163,323 "
01/07/2023,"  135,563 "
02/07/2023,"  166,680 "
03/07/2023,"  110,144 "
04/07/2023,"  111,234 "
05/07/2023,"  104,881 "
06/07/2023,"  128,055 "
07/07/2023,"  126,291 "
08/07/2023,"  123,345 "
09/07/2023,"  184,832 "
10/07/2023,"  151,328 "
11/07/2023,"  85,711 "
12/07/2023,"  132,281 "
13/07/2023,"  143,765 "
14/07/2023,"  136,738 "
15/07/2023,"  188,819 "
16/07/2023,"  210,082 "
17/07/2023,"  179,441 "
18/07/2023,"  173,371 "
19/07/2023,"  179,225 "
20/07/2023,"  179,748 "
21/07/2023,"  188,298 "
22/07/2023,"  196,329 "
23/07/2023,"  199,505 "
