Date,Quantity
16/01/2023,  192 
17/01/2023,  134 
18/01/2023,  224 
19/01/2023,  146 
20/01/2023,  232 
21/01/2023,  134 
22/01/2023,  143 
23/01/2023,  219 
24/01/2023,  208 
25/01/2023,  172 
26/01/2023,  107 
27/01/2023,  173 
28/01/2023,  204 
29/01/2023,  250 
30/01/2023,  161 
31/01/2023,  216 
01/02/2023,  136 
02/02/2023,  166 
03/02/2023,  212 
04/02/2023,  202 
05/02/2023,  255 
06/02/2023,  313 
07/02/2023,  121 
08/02/2023,  128 
09/02/2023,  173 
10/02/2023,  166 
11/02/2023,  171 
12/02/2023,  151 
13/02/2023,  209 
14/02/2023,  178 
15/02/2023,  135 
16/02/2023,  317 
17/02/2023,  170 
18/02/2023,  128 
19/02/2023,  228 
20/02/2023,  212 
21/02/2023,  233 
22/02/2023,  222 
23/02/2023,  275 
24/02/2023,  285 
25/02/2023,  278 
26/02/2023,  248 
27/02/2023,  182 
28/02/2023,  210 
01/03/2023,  202 
02/03/2023,  143 
03/03/2023,  156 
04/03/2023,  317 
05/03/2023,  177 
06/03/2023,  194 
07/03/2023,  140 
08/03/2023,  171 
09/03/2023,  138 
10/03/2023,  277 
11/03/2023,  150 
12/03/2023,  165 
13/03/2023,  195 
14/03/2023,  249 
15/03/2023,  143 
16/03/2023,  159 
17/03/2023,  170 
18/03/2023,  291 
19/03/2023,  332 
20/03/2023,  282 
21/03/2023,  317 
22/03/2023,  261 
23/03/2023,  233 
24/03/2023,  239 
25/03/2023,  295 
26/03/2023,  199 
27/03/2023,  253 
28/03/2023,  168 
29/03/2023,  301 
30/03/2023,  144 
31/03/2023,  304 
01/04/2023,  142 
02/04/2023,  158 
03/04/2023,  298 
04/04/2023,  308 
05/04/2023,  141 
06/04/2023,  144 
07/04/2023,  166 
08/04/2023,  255 
09/04/2023,  288 
10/04/2023,  243 
11/04/2023,  288 
12/04/2023,  215 
13/04/2023,  349 
14/04/2023,  246 
15/04/2023,  291 
16/04/2023,  239 
17/04/2023,  248 
18/04/2023,  165 
19/04/2023,  330 
20/04/2023,  239 
21/04/2023,  208 
22/04/2023,  199 
23/04/2023,  334 
24/04/2023,  292 
25/04/2023,  316 
26/04/2023,  299 
27/04/2023,  150 
28/04/2023,  222 
29/04/2023,  196 
30/04/2023,  189 
01/05/2023,  156 
02/05/2023,  171 
03/05/2023,  145 
04/05/2023,  177 
05/05/2023,  283 
06/05/2023,  243 
07/05/2023,  148 
08/05/2023,  266 
09/05/2023,  157 
10/05/2023,  330 
11/05/2023,  328 
12/05/2023,  264 
13/05/2023,  247 
14/05/2023,  172 
15/05/2023,  335 
16/05/2023,  148 
17/05/2023,  151 
18/05/2023,  266 
19/05/2023,  210 
20/05/2023,  340 
21/05/2023,  197 
22/05/2023,  170 
23/05/2023,  185 
24/05/2023,  150 
25/05/2023,  261 
26/05/2023,  251 
27/05/2023,  189 
28/05/2023,  196 
29/05/2023,  258 
30/05/2023,  186 
31/05/2023,  184 
01/06/2023,  210 
02/06/2023,  196 
03/06/2023,  190 
04/06/2023,  122 
05/06/2023,  186 
06/06/2023,  150 
07/06/2023,  230 
08/06/2023,  234 
09/06/2023,  232 
10/06/2023,  276 
11/06/2023,  258 
12/06/2023,  272 
13/06/2023,  298 
14/06/2023,  380 
15/06/2023,  292 
16/06/2023,  302 
17/06/2023,  346 
18/06/2023,  300 
19/06/2023,  262 
20/06/2023,  370 
21/06/2023,  404 
22/06/2023,  382 
23/06/2023,  330 
24/06/2023,  348 
25/06/2023,  378 
26/06/2023,  278 
27/06/2023,  230 
28/06/2023,  306 
29/06/2023,  292 
30/06/2023,  286 
01/07/2023,  274 
02/07/2023,  294 
03/07/2023,  153 
04/07/2023,  279 
05/07/2023,  179 
06/07/2023,  293 
07/07/2023,  287 
08/07/2023,  253 
09/07/2023,  174 
10/07/2023,  205 
11/07/2023,  182 
12/07/2023,  280 
13/07/2023,  296 
14/07/2023,  203 
15/07/2023,  159 
16/07/2023,  329 
17/07/2023,  296 
18/07/2023,  301 
19/07/2023,  267 
20/07/2023,  322 
21/07/2023,  336 
22/07/2023,  228 
23/07/2023,  334 
24/07/2023,  206 
25/07/2023,  232 
26/07/2023,  233 
27/07/2023,  186 
28/07/2023,  215 
29/07/2023,  256 
30/07/2023,  287 
31/07/2023,  238 
01/08/2023,  216 
02/08/2023,  228 
03/08/2023,  265 
04/08/2023,  292 
05/08/2023,  309 
06/08/2023,  299 
07/08/2023,  268 
08/08/2023,  337 
09/08/2023,  297 
10/08/2023,  279 
11/08/2023,  225 
12/08/2023,  281 
13/08/2023,  320 
14/08/2023,  159 
15/08/2023,  394 
16/08/2023,  234 
17/08/2023,  195 
18/08/2023,  260 
19/08/2023,  318 
20/08/2023,  294 
21/08/2023,  171 
22/08/2023,  154 
23/08/2023,  171 
24/08/2023,  173 
25/08/2023,  280 
26/08/2023,  295 
27/08/2023,  360 
28/08/2023,  216 
29/08/2023,  235 
30/08/2023,  230 
31/08/2023,  277 
01/09/2023,  378 
02/09/2023,  516 
03/09/2023,  337 
04/09/2023,  302 
05/09/2023,  292 
06/09/2023,  200 
07/09/2023,  210 
08/09/2023,  208 
09/09/2023,  235 
10/09/2023,  241 
11/09/2023,  158 
12/09/2023,  191 
13/09/2023,  215 
14/09/2023,  237 
15/09/2023,  273 
16/09/2023,  261 
17/09/2023,  218 
18/09/2023,  159 
19/09/2023,  266 
20/09/2023,  248 
21/09/2023,  223 
22/09/2023,  268 
23/09/2023,  331 
24/09/2023,  282 
25/09/2023,  205 
26/09/2023,  340 
27/09/2023,  256 
28/09/2023,  216 
29/09/2023,  281 
30/09/2023,  246 
01/10/2023,  254 
02/10/2023,  166 
03/10/2023,  327 
04/10/2023,  232 
05/10/2023,  223 
06/10/2023,  227 
07/10/2023,  326 
08/10/2023,  356 
09/10/2023,  196 
10/10/2023,  260 
11/10/2023,  257 
12/10/2023,  259 
13/10/2023,  241 
14/10/2023,  263 
15/10/2023,  272 
16/10/2023,  165 
17/10/2023,  266 
18/10/2023,  231 
19/10/2023,  326 
20/10/2023,  538 
21/10/2023,  332 
22/10/2023,  215 
23/10/2023,  226 
24/10/2023,  246 
25/10/2023,  221 
26/10/2023,  243 
27/10/2023,  259 
28/10/2023,  311 
29/10/2023,  334 
30/10/2023,  223 
31/10/2023,  339 
01/11/2023,  231 
02/11/2023,  241 
03/11/2023,  279 
04/11/2023,  307 
05/11/2023,  260 
06/11/2023,  211 
07/11/2023,  269 
08/11/2023,  206 
09/11/2023,  233 
10/11/2023,  260 
11/11/2023,  316 
12/11/2023,  326 
13/11/2023,  211 
14/11/2023,  231 
15/11/2023,  301 
16/11/2023,  262 
17/11/2023,  321 
18/11/2023,  329 
19/11/2023,  290 
